"","Name","code","individual","day","experiment","treatment","planed_treatment","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"X11.9","X11.9","exp11.9",11,9,"experiment","natural","natural",1367.48205143608,3.41017967939173,5.15385203386931,0.158187505470849,0.18313314218517,0.221023480140233,0.285096147842235,0.240569400500064,0.343080246649413,3.67073855316944,0.188889141639336,0.0115885130073701,288.19244940806,3.74981522786489,-0.271741825909848,1.09959461975732,0.477162250404502,0.0127426665538919,700,357,505,0.690912241614682,300
"X12.9","X12.9","exp12.9",12,9,"experiment","light","light",2279.39276235898,5.68427122782788,9.34753358748536,0.125726500625938,0.146855926523585,0.204009337251569,0.300085911716135,0.263176281422704,0.377649014262977,7.46390548391951,0.206969265952821,0.02787937872341,638.85864564673,8.09516864159691,-0.374260441876566,1.42413483050673,0.555596407033649,0.0397039942928962,700,356,504,0.694708053250234,300
"X13.9","X13.9","exp13.9",13,9,"experiment","dark","dark",2213.5689309687,5.52012202236583,8.39406929652719,0.177102963471701,0.20261564063585,0.222488894880527,0.276023732011613,0.242388332270667,0.331831642879413,2.70225158836486,0.183716844320783,0.0400246704298803,404.383971871136,5.28774517309261,-0.0474600955089418,0.957903675257232,0.477495896610735,0.0383397789057418,700,618,542,0.611261584949835,300
"X14.9","X14.9","exp14.9",14,9,"experiment","dark","dark",1214.45794887193,3.02857343858336,3.94288722717448,0.201934314426982,0.232598969521476,0.25189261484043,0.269910124342197,0.229005034072414,0.283899254007199,2.26578639570567,0.296700926115057,0.03302681613537,127.85131440309,2.20270234714898,-0.256622242415099,0.727306896074248,0.295133935577178,0.0240206311306308,592,618,477,0.811155259036809,300
"X15.9","X15.9","exp15.9",15,9,"experiment","dark","dark",1961.69816941995,4.89201538508715,8.09362142781674,0.156112691067718,0.178832395662073,0.196575103270448,0.28859594786515,0.259069405046841,0.366092692285494,3.24667026868188,0.203062363042818,0.02271999232735,489.632866256008,5.60072231641339,-0.161440677613542,1.14487013542244,0.585670201574692,0.02601144069261,700,356,538,0.575147799943679,568
"X16.9","X16.9","exp16.9",16,9,"experiment","natural","natural",1576.80376336922,3.93217896102049,6.62208820917137,0.146368049272462,0.168448545313027,0.199032848706123,0.287304267429702,0.263399686187806,0.374616628452905,3.84843252802198,0.207592744272416,0.0216969731148895,407.31222536513,4.90136472994878,-0.165267317002995,1.24647549832695,0.582948608800865,0.0270447453755684,700,618,541,0.58589468303047,568
"X17.9","X17.9","exp17.9",17,9,"experiment","light","light",3853.6863108733,9.61019030142967,14.1936996257324,0.160817943462785,0.186106485758603,0.226334637124137,0.29540856827441,0.259174175799096,0.325141437766223,3.50439787520821,0.33796187471994,0.108736645960699,764.322282948978,10.1434461638908,-0.250497376454545,1.05548858510968,0.411827004574447,0.11477028859463,595,618,506,0.781879584806179,300
"X18.9","X18.9","exp18.9",18,9,"experiment","dark","dark",1070.85584683398,2.67046345843885,4.8021836087955,0.154070455368406,0.176736768291283,0.205441432282369,0.276517173226142,0.24390088013141,0.371207682224574,4.56604049289854,0.211392974146416,0.0109654485925201,258.417917164263,3.75046634604581,-0.081637730618354,1.40442526341039,0.591037163195502,0.0154001530279632,700,357,550,0.555819043369733,300
"X19.9","X19.9","exp19.9",19,9,"experiment","dark","dark",1606.50205402933,4.00623953623274,6.84956572467367,0.151182493392955,0.172341702787372,0.197260040189255,0.287565716960474,0.255170279013712,0.37125537050915,4.40023814854958,0.207246559549213,0.0243671110155002,411.540279105534,5.29293049416201,-0.21953067680831,1.32117174879144,0.59428359560679,0.0321931386733435,700,356,528,0.581240108725597,300
"X20.9","X20.9","exp20.9",20,9,"experiment","natural","natural",1715.98719450225,4.2792698117263,6.16338477148312,0.183677327318128,0.210883686572363,0.228784723728119,0.283746132156189,0.250283499350014,0.311445404839567,2.35442816428173,0.323784690377886,0.0559208666892701,279.448013744429,3.5456006041911,-0.0631867073083747,0.828552711136662,0.376497243622714,0.0463333857045066,593,618,534,0.706309162777376,568
