wl;1;2;3;4;5;6
403,389;0,83;0,66;0,42;0,78;0,17;0,41
403,856;0,85;0,66;0,43;0,72;0,08;0,35
404,324;0,88;0,72;0,43;0,73;0,09;0,43
404,791;0,9;0,78;0,54;0,76;0,21;0,57
405,258;0,93;0,88;0,61;0,78;0,3;0,6
405,725;0,92;0,89;0,59;0,79;0,3;0,55
406,193;0,93;0,93;0,58;0,76;0,34;0,54
406,66;0,84;0,91;0,58;0,7;0,26;0,51
407,127;0,85;0,82;0,62;0,63;0,17;0,48
407,594;0,87;0,77;0,53;0,56;0,14;0,46
408,061;0,82;0,78;0,51;0,54;0,22;0,51
408,528;0,86;0,72;0,53;0,6;0,29;0,48
